AggressionTestID,ID,ColourID,ID_Series,SiteID,NestID,Year2,Year,Sex,NestStage,RawMinDis,MinDis,Date,TravelMode,NestApproach,Observer,NestVisibleDistance,NumberAdultsPresent,NumberOfEggs,NumberOfChicks,ClutchSize,JulianLay,JulianHatch,LayDate,HatchDate,NumberHatched,Fledged,NumberFledged,JulianTestDay
302,228Male,,72Male2019,72,228,1,2019,Male,1Laying,-99,-98,6/18/2019,Snowmobile,Above,Erik,-99,2,0,0,3,,,,,0,0,0,169
100,1Male,,1Male2018,1,1,0,2018,Male,2Incubating,-98,-98,7/5/2018,Quad,Above,Silu,3,2,2,0,2,160,199,6/9/2018,7/18/2018,2,1,2,186
131,1Male,,1Male2018,1,1,0,2018,Male,2Incubating,-98,-98,7/12/2018,Quad,Above,Matthew,3,1,2,0,2,160,199,6/9/2018,7/18/2018,2,1,2,193
441,44H,44H,44HMale2019,1,157,1,2019,Male,3Provisioning,-98,-98,7/26/2019,Boat,Above,Erik,1,1,0,1,3,162,198,6/11/2019,7/17/2019,1,0,0,207
47,11A,11A,11AMale2018,3,3,0,2018,Male,1Laying,-98,-98,6/14/2018,Snowmobile,Below,Kevin,1,1,3,0,4,161,199,6/10/2018,7/18/2018,3,0,0,165
194,11A,11A,11AMale2018,3,3,0,2018,Male,3Provisioning,-98,-98,8/6/2018,Quad,Above,Erik,3,1,0,3,4,161,199,6/10/2018,7/18/2018,3,0,0,218
394,01H,01H,01HMale2019,8,164,1,2019,Male,3Provisioning,-98,-98,7/18/2019,Boat,Above,Erik,2,1,1,2,3,,197,,7/16/2019,2,1,1,199
445,01H,01H,01HMale2019,8,164,1,2019,Male,3Provisioning,-98,-98,7/29/2019,Quad,Below,Erik,1,1,0,2,3,,197,,7/16/2019,2,1,1,210
473,01H,01H,01HMale2019,8,164,1,2019,Male,3Provisioning,-98,-98,8/18/2019,Boat,Below,Nick,1,1,0,1,3,,197,,7/16/2019,2,1,1,230
151,89E,89E,89EMale2018,8,8,0,2018,Male,3Provisioning,-98,-98,7/19/2018,Boat,Below,Erik,4,1,1,2,4,157,,6/6/2018,,2,1,2,200
230,89E,89E,89EMale2018,8,8,0,2018,Male,3Provisioning,-98,-98,8/10/2018,Boat,Below,Erik,1,1,0,1,4,157,,6/6/2018,,2,1,2,222
457,168Male,,12Male2019,12,168,1,2019,Male,3Provisioning,-98,-98,8/16/2019,Boat,Above,Rebekah,2,1,0,1,4,159,195,6/8/2019,7/14/2019,4,1,1,228
97,43A,43A,43AMale2018,18,18,0,2018,Male,2Incubating,-98,-98,7/5/2018,Quad,Above,Silu,3,1,4,0,4,159,195,6/8/2018,7/14/2018,4,1,3,186
185,43A,43A,43AMale2018,18,18,0,2018,Male,3Provisioning,-98,-98,7/26/2018,Quad,Above,Erik,2,1,0,4,4,159,195,6/8/2018,7/14/2018,4,1,3,207
240,43A,43A,43AMale2018,18,18,0,2018,Male,3Provisioning,-98,-98,8/9/2018,Quad,Above,Erik,3,2,0,3,4,159,195,6/8/2018,7/14/2018,4,1,3,221
170,14H,14H,14HMale2018,22,22,0,2018,Male,3Provisioning,-98,-98,7/24/2018,Boat,Above,Erik,3,1,0,3,3,158,193,6/7/2018,7/12/2018,3,1,3,205
168,23Male,,23Male2018,23,23,0,2018,Male,3Provisioning,-98,-98,7/24/2018,Boat,Above,Erik,3,1,1,1,3,159,195,6/8/2018,7/14/2018,2,1,1,205
413,179Male,,23Male2019,23,179,1,2019,Male,3Provisioning,-98,-98,7/22/2019,Boat,Below,Rebekah,20,0,0,0,3,161,195,6/10/2019,7/14/2019,2,0,0,203
138,41H,41H,41HMale2018,29,29,0,2018,Male,3Provisioning,-98,-98,7/17/2018,Boat,Below,Erik,1,1,0,1,4,158,194,6/7/2018,7/13/2018,4,0,0,198
175,41H,41H,41HMale2018,29,29,0,2018,Male,3Provisioning,-98,-98,7/24/2018,Boat,Below,Erik,5,1,0,1,4,158,194,6/7/2018,7/13/2018,4,0,0,205
268,186Male,,30Male2019,30,186,1,2019,Male,2Incubating,-98,-98,6/19/2019,Snowmobile,Below,Kevin,10,1,4,0,4,,197,,7/16/2019,2,0,0,170
414,186Male,,30Male2019,30,186,1,2019,Male,3Provisioning,-98,-98,7/25/2019,Boat,Below,Nick,2,1,0,2,4,,197,,7/16/2019,2,0,0,206
108,15C,15C,15CMale2018,33,33,0,2018,Male,2Incubating,-98,-98,7/9/2018,Quad,Above,Erik,3,1,3,0,3,,201,,7/20/2018,2,1,2,190
181,15C,15C,15CMale2018,33,33,0,2018,Male,3Provisioning,-98,-98,7/25/2018,Quad,Above,Erik,2,1,0,2,3,,201,,7/20/2018,2,1,2,206
210,15C,15C,15CMale2018,33,33,0,2018,Male,3Provisioning,-98,-98,8/1/2018,Quad,Above,Erik,2,2,0,2,3,,201,,7/20/2018,2,1,2,213
417,193Male,,37Male2019,37,193,1,2019,Male,3Provisioning,-98,-98,7/23/2019,Quad,Above,Erik,2,1,0,4,4,,201,,7/20/2019,4,0,0,204
329,24K,24K,24KFemale2019,39,195,1,2019,Female,2Incubating,-98,-98,6/24/2019,Snowmobile,Above,Rebekah,5,1,4,0,4,160,196,6/9/2019,7/15/2019,4,1,1,175
458,24K,24K,24KFemale2019,39,195,1,2019,Female,3Provisioning,-98,-98,8/16/2019,Boat,Above,Rebekah,2,1,0,1,4,160,196,6/9/2019,7/15/2019,4,1,1,228
196,40Male,,40Male2018,40,40,0,2018,Male,3Provisioning,-98,-98,8/6/2018,Quad,Above,Erik,3,1,0,1,4,161,200,6/10/2019,7/19/2018,3,1,1,218
391,196Male,,40Male2019,40,196,1,2019,Male,2Incubating,-98,-98,7/17/2019,Boat,Below,Nick,2,1,4,0,4,167,204,6/16/2019,7/23/2019,3,0,0,198
