NestID,siteID,year,date,FID,dives,minDis,score,sex,present
1,1,2018,6/25/2018,100,10,5,4,Male,2
1,1,2018,8/2/2018,100,12,8,4,Male,2
1,1,2018,8/2/2018,100,0,8,3,Female,2
1,1,2018,7/26/2018,150,21,51,4,Male,2
1,1,2018,7/26/2018,200,16,8,4,Female,2
1,1,2018,7/5/2018,35,0,15,3,Female,2
1,1,2018,6/25/2018,100,5,5,4,Female,2
1,1,2018,7/20/2018,220,0,15,3,Female,2
1,1,2018,7/20/2018,220,9,2,5,Male,2
1,1,2018,8/13/2018,275,9,3,5,Female,2
1,1,2018,8/13/2018,85,5,8,4,Male,2
1,1,2018,7/12/2018,152,14,8,4,Female,1
3,3,2018,6/14/2018,50,7,7,4,Female,1
3,3,2018,7/19/2018,10,0,15,3,Female,2
4,4,2018,6/15/2018,63,0,30,3,Female,2
4,4,2018,6/15/2018,153,0,167,1,Male,2
8,8,2018,8/10/2018,70,5,1,5,Female,1
8,8,2018,6/12/2018,147,5,5,5,Male,2
8,8,2018,7/19/2018,30,16,3,4,Female,1
12,12,2018,6/11/2018,83,0,25,3,Male,2
12,12,2018,6/11/2018,82,1,25,4,Female,2
18,18,2018,7/20/2018,128,8,10,4,Male,2
18,18,2018,6/26/2018,20,14,5,4,Female,2
18,18,2018,6/26/2018,75,1,20,4,Male,2
18,18,2018,7/20/2018,128,10,3,5,Female,2
18,18,2018,7/26/2018,150,10,8,4,Female,1
18,18,2018,7/5/2018,150,5,5,4,Female,1
18,18,2018,8/9/2018,220,11,1,5,Female,2
18,18,2018,7/12/2018,370,5,6,4,Female,2
22,22,2018,6/8/2018,323,5,5,4,Male,2
22,22,2018,6/8/2018,220,0,40,2,Female,2
22,22,2018,7/17/2018,175,0,8,3,Male,2
22,22,2018,7/24/2018,50,18,3,4,Female,1
22,22,2018,7/17/2018,175,0,10,3,Female,2
23,23,2018,8/7/2018,80,0,8,3,Female,2
23,23,2018,7/17/2018,200,2,3,4,Female,2
23,23,2018,8/7/2018,80,0,30,3,Male,2
23,23,2018,7/24/2018,120,8,6,4,Female,1
29,29,2018,7/24/2018,80,0,10,3,Female,1
29,29,2018,6/8/2018,112,5,10,4,Male,2
29,29,2018,7/17/2018,70,0,23,3,Female,1
29,29,2018,6/8/2018,76,0,10,3,Female,2
29,29,2018,6/12/2018,171,0,30,3,Female,2
29,29,2018,6/12/2018,161,1,20,4,Male,2
30,30,2018,6/13/2018,109,0,50,3,Male,2
30,30,2018,6/13/2018,86,6,5,4,Female,2
33,33,2018,8/1/2018,15,0,5,3,Female,2
33,33,2018,7/14/2018,50,0,15,3,Female,2
33,33,2018,7/9/2018,5,0,6,3,Female,1
33,33,2018,7/14/2018,20,7,2,5,Male,2
33,33,2018,6/28/2018,15,19,5,4,Female,2
33,33,2018,7/25/2018,15,0,5,3,Female,1
40,40,2018,8/6/2018,200,0,15,3,Female,1
40,40,2018,8/14/2018,50,9,8,4,Female,2
40,40,2018,6/14/2018,100,0,30,3,Female,2
40,40,2018,6/14/2018,100,21,15,4,Male,2
40,40,2018,8/14/2018,30,20,3,5,Male,2
47,47,2018,7/14/2018,170,11,5,4,Male,2
47,47,2018,6/28/2018,10,15,5,4,Male,2
47,47,2018,6/28/2018,120,4,15,4,Female,2
47,47,2018,7/25/2018,220,0,20,3,Female,2
47,47,2018,7/25/2018,220,14,2,4,Male,2
47,47,2018,7/14/2018,170,0,20,3,Female,2
47,47,2018,7/7/2018,150,8,15,4,Female,1
47,47,2018,7/31/2018,133,0,25,3,Female,1
47,47,2018,6/22/2018,10,0,20,3,Female,1
51,51,2018,7/31/2018,172,0,15,3,Female,1
51,51,2018,6/18/2018,15,0,300,2,Female,1
51,51,2018,7/8/2018,34,0,20,3,Female,0
51,51,2018,8/10/2018,80,0,10,3,Female,2
53,53,2018,7/19/2018,150,0,40,3,Female,2
53,53,2018,7/19/2018,70,13,15,4,Male,2
53,53,2018,6/13/2018,70,0,20,3,Female,2
53,53,2018,6/13/2018,70,12,10,4,Male,2
57,57,2018,7/14/2018,2,0,15,3,Female,1
57,57,2018,7/25/2018,30,0,25,3,Male,2
57,57,2018,8/1/2018,40,0,25,3,Male,2
